Date,Total order quantity,Payment method,Fulfillment status,Payment status,Order no.,Total
"May 15, 2024","1","Offline","Fulfilled","Unpaid","10074","885.00"
"Apr 27, 2024","1","Offline","Unfulfilled","Unpaid","10073","745.00"
"Apr 26, 2024","1","Offline","Fulfilled","Paid","10072","910.00"
"Apr 21, 2024","1","Offline","Fulfilled","Paid","10071","885.00"
"Apr 18, 2024","1","Offline","Unfulfilled","Unpaid","10070","795.00"
"Apr 14, 2024","1","Offline","Fulfilled","Paid","10069","795.00"
"Mar 28, 2024","1","Offline","Fulfilled","Paid","10068","885.00"
"Mar 5, 2024","2","offline","Fulfilled","Paid","10067","2380.00"
"Mar 5, 2024","1","offline","Fulfilled","Paid","10066","540.00"
"Mar 1, 2024","1","offline","Fulfilled","Paid","10065","1280.00"
"Feb 29, 2024","1","offline","Fulfilled","Paid","10064","1190.00"
"Feb 28, 2024","1","offline","Fulfilled","Paid","10063","1190.00"
"Feb 28, 2024","1","offline","Unfulfilled","Unpaid","10062","1280.00"
"Feb 28, 2024","1","offline","Fulfilled","Paid","10061","1190.00"
"Feb 28, 2024","1","offline","Fulfilled","Paid","10060","1190.00"
"Feb 28, 2024","1","offline","Fulfilled","Paid","10059","1280.00"
"Feb 28, 2024","1","offline","Fulfilled","Paid","10058","540.00"
"Feb 28, 2024","3","offline","Fulfilled","Paid","10057","2450.00"
"Feb 24, 2024","1","offline","Fulfilled","Paid","10056","885.00"
"Feb 19, 2024","1","offline","Fulfilled","Paid","10055","910.00"
"Feb 18, 2024","1","offline","Fulfilled","Paid","10054","885.00"
"Feb 17, 2024","1","offline","Fulfilled","Paid","10053","885.00"
"Feb 16, 2024","1","offline","Fulfilled","Paid","10052","860.00"
"Feb 15, 2024","1","offline","Fulfilled","Paid","10051","885.00"
"Feb 11, 2024","1","offline","Fulfilled","Paid","10050","885.00"
"Feb 7, 2024","1","offline","Unfulfilled","Unpaid","10049","835.00"
"Feb 1, 2024","1","offline","Fulfilled","Paid","10048","835.00"
"Jan 29, 2024","1","offline","Fulfilled","Paid","10047","885.00"
"Jan 29, 2024","1","offline","Fulfilled","Paid","10046","910.00"
"Jan 26, 2024","1","offline","Unfulfilled","Unpaid","10045","885.00"
"Jan 26, 2024","1","offline","Fulfilled","Paid","10044","795.00"
"Jan 26, 2024","1","offline","Fulfilled","Paid","10043","885.00"
"Jan 25, 2024","1","offline","Fulfilled","Paid","10042","795.00"
"Jan 25, 2024","1","offline","Fulfilled","Paid","10041","795.00"
"Jan 14, 2024","1","offline","Fulfilled","Paid","10040","795.00"
"Dec 26, 2023","2","offline","Fulfilled","Paid","10039","1540.00"
"Dec 25, 2023","1","offline","Fulfilled","Paid","10038","745.00"
"Dec 20, 2023","1","offline","Fulfilled","Paid","10037","910.00"
"Dec 20, 2023","1","offline","Fulfilled","Paid","10036","795.00"
"Dec 19, 2023","2","offline","Fulfilled","Paid","10035","1680.00"
"Dec 19, 2023","1","offline","Fulfilled","Paid","10034","795.00"
"Dec 19, 2023","2","offline","Fulfilled","Paid","10033","1490.00"
"Dec 19, 2023","2","offline","Fulfilled","Paid","10032","1650.00"
"Dec 19, 2023","3","offline","Fulfilled","Paid","10031","2335.00"
"Dec 18, 2023","1","offline","Fulfilled","Paid","10030","795.00"
"Dec 18, 2023","1","offline","Fulfilled","Paid","10029","795.00"
"Dec 18, 2023","1","offline","Fulfilled","Paid","10028","885.00"
"Dec 17, 2023","1","offline","Fulfilled","Paid","10027","745.00"
"Dec 16, 2023","1","offline","Fulfilled","Paid","10026","745.00"
"Dec 16, 2023","1","offline","Fulfilled","Paid","10025","795.00"
"Dec 16, 2023","1","offline","Fulfilled","Paid","10024","795.00"
"Dec 15, 2023","1","offline","Fulfilled","Paid","10023","795.00"
"Dec 15, 2023","1","offline","Fulfilled","Paid","10022","795.00"
"Dec 15, 2023","1","offline","Fulfilled","Paid","10021","795.00"
"Dec 15, 2023","3","offline","Fulfilled","Paid","10020","2375.00"
"Dec 15, 2023","1","offline","Fulfilled","Paid","10019","745.00"
"Dec 14, 2023","1","offline","Fulfilled","Paid","10018","795.00"
"Dec 12, 2023","2","offline","Fulfilled","Paid","10017","1630.00"
"Dec 12, 2023","1","offline","Fulfilled","Paid","10016","745.00"
"Dec 11, 2023","2","offline","Fulfilled","Paid","10015","1540.00"
"Dec 11, 2023","1","offline","Fulfilled","Paid","10014","795.00"
"Dec 11, 2023","1","offline","Canceled","Unpaid","10013","895.00"
"Dec 11, 2023","1","offline","Fulfilled","Paid","10011","845.00"
"Dec 11, 2023","1","offline","Fulfilled","Paid","10010","895.00"
"Dec 11, 2023","1","offline","Unfulfilled","Unpaid","10009","895.00"
"Dec 11, 2023","2","offline","Fulfilled","Paid","10008","1640.00"
"Dec 11, 2023","1","offline","Fulfilled","Paid","10007","895.00"
"Dec 11, 2023","1","offline","Fulfilled","Paid","10006","895.00"
"Dec 11, 2023","1","offline","Fulfilled","Paid","10005","745.00"
"Dec 11, 2023","1","offline","Fulfilled","Paid","10004","795.00"
"Dec 11, 2023","1","offline","Unfulfilled","Unpaid","10003","795.00"
"Dec 10, 2023","1","offline + In Person","Fulfilled","Paid","10002","845.00"